"rank","team","games","points_scored","total_yards","offensive_plays","yards_per_play","turnovers_lost","fumbles_lost","1st_downs","passes_completed","passes_attempted","passing_yards","passing_touchdowns","passing_interceptions","net_yards_per_pass_attempt","passing_1st_downs","rushing_attempts","rushing_yards","rushing_touchdowns","rushing_yards_per_attempt","rushing_1st_downs","penalties","penalty_yards","1st_down_penalties","percentage_scoring_drives","percentage_turnover_drives","expected_points"
"1","Kansas City Chiefs","5","159","1907","326","5.8","4","2","124","126","190","1336","15","2","6.7","80","128","571","4","4.5","30","24","228","14","50","5.8","72.06"
"2","Buffalo Bills","5","152","2202","329","6.7","9","5","120","135","206","1620","14","4","7.6","78","115","582","3","5.1","33","29","195","9","47.2","17","70.22"
"3","Detroit Lions","5","140","2059","333","6.2","6","2","107","112","187","1302","11","4","6.7","66","139","757","7","5.4","32","30","270","9","37.9","10.3","31.13"
"4","Baltimore Ravens","5","138","1762","291","6.1","6","1","99","95","149","1039","12","5","6.6","46","133","723","3","5.4","44","23","162","9","43.6","10.9","36.86"
"5","Philadelphia Eagles","5","135","2099","356","5.9","2","0","122","108","159","1299","4","2","7.6","61","186","800","12","4.3","52","29","223","9","40.7","3.7","55.51"
"6","Cleveland Browns","5","133","1982","346","5.7","4","1","123","103","161","1020","5","3","6.1","58","180","962","10","5.3","57","32","249","8","45.1","7.8","57.31"
"7","Seattle Seahawks","5","127","1840","277","6.6","7","4","98","118","158","1230","9","3","7.4","57","110","610","4","5.5","30","44","391","11","44.7","10.6","47.51"
"8","Las Vegas Raiders","5","125","1803","312","5.8","5","1","105","114","185","1196","8","4","6.1","62","115","607","3","5.3","35","34","247","8","53.1","10.2","34.91"
"9","Los Angeles Chargers","5","122","1952","333","5.9","4","2","103","133","200","1456","10","2","7.1","68","128","496","4","3.9","26","25","178","9","40","5.5","33.03"
"10","Atlanta Falcons","5","118","1657","297","5.6","8","4","105","71","123","834","4","4","6.2","45","162","823","7","5.1","46","22","169","14","40.4","15.4","34.67"
"11","New York Jets","5","116","1780","345","5.2","9","4","103","125","214","1295","7","5","5.7","68","119","485","6","4.1","23","30","362","12","35.6","15.3","1.07"
"12","Minnesota Vikings","5","115","1805","328","5.5","6","1","121","133","200","1296","7","5","6.2","77","120","509","6","4.2","32","23","165","12","39.6","11.3","41.57"
"13","New Orleans Saints","5","115","1895","318","6","13","7","100","110","168","1214","7","6","6.7","55","136","681","7","5","37","40","376","8","30.6","19.4","4.05"
"14","Miami Dolphins","5","115","1739","289","6","6","1","99","113","174","1325","9","5","7.2","64","106","414","4","3.9","23","33","234","12","38","12","39.86"
"15","Jacksonville Jaguars","5","111","1768","323","5.5","8","4","105","113","181","1191","8","4","6.4","67","136","577","3","4.2","29","28","205","9","37","14.8","15.3"
"16","San Francisco 49ers","5","108","1695","299","5.7","6","4","90","80","138","1001","5","2","6.8","43","152","694","6","4.6","38","33","240","9","30.9","10.9","14.83"
"17","Cincinnati Bengals","5","108","1678","349","4.8","7","2","107","125","192","1219","9","5","5.8","68","138","459","2","3.3","25","26","186","14","36.8","12.3","9.59"
"18","Arizona Cardinals","5","105","1761","361","4.9","3","0","112","143","219","1189","6","3","5.2","66","134","572","5","4.3","40","32","295","6","36","6","21.28"
"19","New England Patriots","5","103","1729","297","5.8","10","4","96","96","139","1039","4","6","7","49","149","690","5","4.6","40","26","207","7","35.3","19.6","9.44"
"20","New York Giants","5","103","1666","315","5.3","5","2","104","89","135","771","3","3","5.1","40","165","895","7","5.4","51","37","282","13","39.6","7.5","22.41"
"21","Tampa Bay Buccaneers","5","103","1688","320","5.3","6","5","103","141","207","1358","7","1","6.3","72","106","330","2","3.1","20","30","251","11","35.7","8.9","9.66"
"22","Green Bay Packers","5","97","1811","320","5.7","7","4","107","118","173","1137","8","3","6.2","61","136","674","3","5","39","24","177","7","30.9","12.7","21.74"
"23","Tennessee Titans","5","96","1391","282","4.9","6","3","84","83","130","877","6","3","6.2","47","140","514","6","3.7","26","37","331","11","29.6","7.4","2.64"
"24","Dallas Cowboys","5","93","1490","294","5.1","2","1","79","86","147","911","4","1","5.8","44","138","579","3","4.2","28","32","250","7","35.1","3.5","-6.79"
"25","Carolina Panthers","5","93","1357","279","4.9","7","3","71","89","159","908","4","4","5.2","37","103","449","3","4.4","26","28","283","8","32.1","10.7","-38.48"
"26","Washington Commanders","5","90","1708","345","5","8","2","101","132","210","1263","10","6","5.5","63","115","445","2","3.9","28","32","335","10","22.2","12.7","-15.35"
"27","Houston Texans","5","86","1456","293","5","5","1","83","104","166","960","5","4","5.4","44","115","496","3","4.3","26","30","251","13","31","8.6","-14.95"
"28","Chicago Bears","5","86","1370","266","5.2","8","4","73","49","88","583","3","4","5.5","26","160","787","5","4.9","38","27","211","9","36.5","13.5","-5.91"
"29","Los Angeles Rams","5","80","1499","312","4.8","12","5","93","135","194","1187","5","7","5.5","66","97","312","3","3.2","19","17","156","8","31.4","23.5","-19.19"
"30","Pittsburgh Steelers","5","77","1479","306","4.8","9","3","92","113","181","1036","2","6","5.4","59","114","443","4","3.9","27","30","213","6","26.3","12.3","-25.01"
"31","Denver Broncos","5","75","1718","318","5.4","6","3","84","101","170","1155","4","3","6.2","50","132","563","2","4.3","26","44","335","8","29.3","10.3","-18.28"
"32","Indianapolis Colts","5","69","1665","343","4.9","11","4","101","128","195","1208","5","7","5.6","69","127","457","1","3.6","26","31","267","6","26.3","19.3","-33.65"
